Date,Spotify_Ad-supported,Spotify_Premium
Mar-42,0.00053837184615385,0.00081129169230769
Apr-42,0.00053837184615385,0.00081129169230769
May-42,0.00053837184615385,0.00081129169230769
Jun-42,0.00053837184615385,0.00081129169230769
Jul-42,0.00053837184615385,0.00081129169230769
Aug-42,0.00053837184615385,0.00081129169230769
Sep-42,0.00053837184615385,0.00081129169230769
Oct-42,0.00053837184615385,0.00081129169230769
Nov-42,0.00053837184615385,0.00081129169230769
Dec-42,0.00053837184615385,0.00081129169230769
Jan-43,0.00053837184615385,0.00081129169230769
Feb-43,0.00053837184615385,0.00081129169230769
Mar-43,0.00053837184615385,0.00081129169230769
Apr-43,0.00053837184615385,0.00081129169230769
May-43,0.00053837184615385,0.00081129169230769
Jun-43,0.00053837184615385,0.00081129169230769
Jul-43,0.00053837184615385,0.00081129169230769
Aug-43,0.00053837184615385,0.00081129169230769
Sep-43,0.00053837184615385,0.00081129169230769
Oct-43,0.00053837184615385,0.00081129169230769
Nov-43,0.00053837184615385,0.00081129169230769
Dec-43,0.00053837184615385,0.00081129169230769
Jan-44,0.00053837184615385,0.00081129169230769
Feb-44,0.00053837184615385,0.00081129169230769
Mar-44,0.00053837184615385,0.00081129169230769
Apr-44,0.00053837184615385,0.00081129169230769
May-44,0.00053837184615385,0.00081129169230769
Jun-44,0.00053837184615385,0.00081129169230769
Jul-44,0.00053837184615385,0.00081129169230769
Aug-44,0.00053837184615385,0.00081129169230769
Sep-44,0.00053837184615385,0.00081129169230769
Oct-44,0.00053837184615385,0.00081129169230769
Nov-44,0.00053837184615385,0.00081129169230769
Dec-44,0.00053837184615385,0.00081129169230769
Jan-45,0.00053837184615385,0.00081129169230769
Feb-45,0.00053837184615385,0.00081129169230769
Mar-45,0.00053837184615385,0.00081129169230769
Apr-45,0.00053837184615385,0.00081129169230769
May-45,0.00053837184615385,0.00081129169230769
Jun-45,0.00053837184615385,0.00081129169230769
Jul-45,0.00053837184615385,0.00081129169230769
Aug-45,0.00053837184615385,0.00081129169230769
Sep-45,0.00053837184615385,0.00081129169230769
Oct-45,0.00053837184615385,0.00081129169230769
Nov-45,0.00053837184615385,0.00081129169230769
Dec-45,0.00053837184615385,0.00081129169230769
Jan-46,0.00053837184615385,0.00081129169230769
Feb-46,0.00053837184615385,0.00081129169230769
Mar-46,0.00053837184615385,0.00081129169230769
Apr-46,0.00053837184615385,0.00081129169230769
May-46,0.00053837184615385,0.00081129169230769
Jun-46,0.00053837184615385,0.00081129169230769
Jul-46,0.00053837184615385,0.00081129169230769
Aug-46,0.00053837184615385,0.00081129169230769
Sep-46,0.00053837184615385,0.00081129169230769
Oct-46,0.00053837184615385,0.00081129169230769
Nov-46,0.00053837184615385,0.00081129169230769
Dec-46,0.00053837184615385,0.00081129169230769
Jan-47,0.00053837184615385,0.00081129169230769
Feb-47,0.00053837184615385,0.00081129169230769
Mar-47,0.00053837184615385,0.00081129169230769
Apr-47,0.00053837184615385,0.00081129169230769
May-47,0.00053837184615385,0.00081129169230769
Jun-47,0.00053837184615385,0.00081129169230769
Jul-47,0.00053837184615385,0.00081129169230769
Aug-47,0.00053837184615385,0.00081129169230769
Sep-47,0.00053837184615385,0.00081129169230769
Oct-47,0.00053837184615385,0.00081129169230769
Nov-47,0.00053837184615385,0.00081129169230769
Dec-47,0.00053837184615385,0.00081129169230769
Jan-48,0.00053837184615385,0.00081129169230769
Feb-48,0.00053837184615385,0.00081129169230769
Mar-48,0.00053837184615385,0.00081129169230769
Apr-48,0.00053837184615385,0.00081129169230769
May-48,0.00053837184615385,0.00081129169230769
Jun-48,0.00053837184615385,0.00081129169230769
Jul-48,0.00053837184615385,0.00081129169230769
Aug-48,0.00053837184615385,0.00081129169230769
Sep-48,0.00053837184615385,0.00081129169230769
Oct-48,0.00053837184615385,0.00081129169230769
Nov-48,0.00053837184615385,0.00081129169230769
Dec-48,0.00053837184615385,0.00081129169230769
Jan-49,0.00053837184615385,0.00081129169230769
Feb-49,0.00053837184615385,0.00081129169230769
Mar-49,0.00053837184615385,0.00081129169230769
Apr-49,0.00053837184615385,0.00081129169230769
May-49,0.00053837184615385,0.00081129169230769
Jun-49,0.00053837184615385,0.00081129169230769
Jul-49,0.00053837184615385,0.00081129169230769
